TASK_RULE_ID,TASK_ID,RULE_NAME,RULE_DESCRIPTION,RULE_MODE,START_EXPRESSION,START_EXPRESSION_CONVERT,START_EXPRESSION_ID,START_EXPRESSION_PARAM,END_EXPRESSION,END_EXPRESSION_CONVERT,END_EXPRESSION_ID,END_EXPRESSION_PARAM,JUDGE_EXPRESSION,JUDGE_EXPRESSION_CONVERT,JUDGE_EXPRESSION_ID,JUDGE_EXPRESSION_PARAM,RULE_TYPE,RULE_END_TIME,RBF_BEFORE_TIME,RBF_AFTER_TIME,RULE_SIGNALS,OTHER_SIGNALS
2379,670,电机A控制模式异常,电机A控制模式与电机实际执行模式A不相符,1,(PrplsnSysAtv == 1)&&(HVBatCntctrStsPriAuth == 2),(PrplsnSysAtv == 1)&&(HVBatCntctrStsPriAuth == 2),,,,,,,"Debounce((MtrACntrlModeAchvd != MtrAMCmd),1)","Debounce(9,(MtrACntrlModeAchvd != MtrAMCmd),1)",,,1,,60.000,60.000,"170173,168254,168517,162246","162240,162246,166993,167073,167798,168100,168353,168414,170000,170015"
2353,671,功能安全相关,拉开前舱盖但是发动机未启动,1,(PrplsnSysAtv == 1)&&(SecEngCmptAjrAuth == 1),(PrplsnSysAtv == 1)&&(SecEngCmptAjrAuth == 1),,,,,,,"Debounce((HybEngStrtStopStat == 0),10)","Debounce(9,(HybEngStrtStopStat == 0),10)",,,1,,60.000,60.000,"167159,167742,168254","166904,167073,167798"
2380,670,电机B控制模式异常,电机B控制模式与电机实际执行模式B不相符,1,(PrplsnSysAtv == 1)&&(HVBatCntctrStsPriAuth == 2),(PrplsnSysAtv == 1)&&(HVBatCntctrStsPriAuth == 2),,,,,,,"Debounce((MtrBCntrlModeAchvd != MtrBMCmd),1)","Debounce(9,(MtrBCntrlModeAchvd != MtrBMCmd),1)",,,1,,60.000,60.000,"160281,160965,163786,170000","159857,160134,160368,163786,163792,163823,166625,166630,167073,170000,170015"
2382,672,HTCP一直请求闭合继电器,PMDR功能异常，导致HTCP长时间发送用电请求,1,"Debounce(((PrplsnSysAtv == 0)&&(SysPwrMd == 0)&&(HVBatCntctrStsPriAuth == 2)&&(ESSPrplSysReqPriAuth == 1)), 60)","Debounce(9,((PrplsnSysAtv == 0)&&(SysPwrMd == 0)&&(HVBatCntctrStsPriAuth == 2)&&(ESSPrplSysReqPriAuth == 1)), 60)",,,,,,,ESSPrplSysReqPriAuth == 1,ESSPrplSysReqPriAuth == 1,,,1,,60.000,60.000,"168254,168231,168517,168208,168208",
2655,718,充电时间信号统计30-80,统计充电soc->30-80的的信号,1,"HVBSOC_BatSOC>=30&&(HVBSOC_BatSOC<=80)&&Debounce(HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1","HVBSOC_BatSOC>=30&&(HVBSOC_BatSOC<=80)&&Debounce(49,HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1",,,,,,,"range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))","range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))",,,0,,,,"163960,163962,166904,166910,167007,167798,168077",167012
2656,718,充电时间累计80-100,统计充电soc->80-100的充电时间,1,"HVBSOC_BatSOC>=80&&(HVBSOC_BatSOC<=100)&&Debounce(HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1","HVBSOC_BatSOC>=80&&(HVBSOC_BatSOC<=100)&&Debounce(50,HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1",,,,,,,time_accum(),time_accum(),,,0,,,,"166904,167007,167798",
2402,674,1VDC_Active,横摆角速度大于某一值，且驾驶员需求扭矩大于某一值，HTCP应主动将前轴扭矩向后轴转移,1,(PrplsnSysAtv == 1)&&(IMUYawRtPri>15),(PrplsnSysAtv == 1)&&(IMUYawRtPri>15),,,,,,,PSATIP_CmndATImmedAuth > 2500,PSATIP_CmndATImmedAuth > 2500,,,1,,60.000,60.000,"166414,167752,168254","162239,166986,166987,167073,167798,167889,167893,167894,167897,168100,168351,168414,168419"
2424,712,继电器断开状态12V补电请求监测,继电器断开状态12V补电请求监测,1,HVBatCntctrStsPriAuth == 0,HVBatCntctrStsPriAuth == 0,,,,,,,cnt_accum(EdgeRising(LoVltg12VBatMntModeReqd_1 == 1)),"cnt_accum(EdgeRising(21,LoVltg12VBatMntModeReqd_1 == 1))",,,0,,,,"168517,159855",
2434,681,$0=No Action,ECM无诊断请求，但是HTCP回复接受,1,(PrplsnSysAtv == 1)&&(CoEng_stPrioWpDmd == 0),(PrplsnSysAtv == 1)&&(CoEng_stPrioWpDmd == 0),,,,,,,"Debounce((CoPOM_stOperModAcpt == 2),1)","Debounce(9,(CoPOM_stOperModAcpt == 2),1)",,,1,,60.000,60.000,"168254,167154,168205",
2435,681,$1=GPF enable,ECM_GPF再生诊断请求，但是HTCP回复拒绝,1,(PrplsnSysAtv == 1)&&(CoEng_stPrioWpDmd == 1),(PrplsnSysAtv == 1)&&(CoEng_stPrioWpDmd == 1),,,,,,,"Debounce((CoPOM_stOperModAcpt == 0|1),1)","Debounce(9,(CoPOM_stOperModAcpt == 0|1),1)",,,1,,60.000,60.000,"160281,164051,165034",
2676,721,电机A响应水平,电机A响应水平,1,PrplsnSysAtv == 1&&abs(CmndMtrATorqImmed - MtrATorqAchvd)>15,PrplsnSysAtv == 1&&abs(CmndMtrATorqImmed - MtrATorqAchvd)>15,,,,,,,time_accum(),time_accum(),,,0,,,,"160281,163789,170174","159857,160134,160366,162178,162181,163785,163786,163789,163792,163817,166625,167073,168368"
2657,718,充电时间信号统计80-100,统计充电soc->80-100的的信号,1,"HVBSOC_BatSOC>=80&&(HVBSOC_BatSOC<=100)&&Debounce(HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1","HVBSOC_BatSOC>=80&&(HVBSOC_BatSOC<=100)&&Debounce(50,HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1",,,,,,,"range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))","range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))",,,0,,,,"163960,163962,166904,166910,167007,167798,168077",167012
2436,681,$2=Catalyst heat enable,ECM_催化剂加热诊断请求，但是HTCP回复拒绝,1,(PrplsnSysAtv == 1)&&(CoEng_stPrioWpDmd == 2),(PrplsnSysAtv == 1)&&(CoEng_stPrioWpDmd == 2),,,,,,,"Debounce((CoPOM_stOperModAcpt == 0|1),1)","Debounce(9,(CoPOM_stOperModAcpt == 0|1),1)",,,1,,60.000,60.000,"160281,164051,165034",
2658,718,充电时间累计10-30_latch,充电时间累计10-30_latch,1,"Latch_On_With_Reset(abs(HVBSOC_BatSOC-10)<2&&HiVltgBatChrgCordCnctdIndOn == 1,HiVltgBatChrgCordCnctdIndOn == 0)&&HVBSOC_BatSOC>=10&&(HVBSOC_BatSOC<=30)&&Debounce(HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1","Latch_On_With_Reset(20,abs(HVBSOC_BatSOC-10)<2&&HiVltgBatChrgCordCnctdIndOn == 1,HiVltgBatChrgCordCnctdIndOn == 0)&&HVBSOC_BatSOC>=10&&(HVBSOC_BatSOC<=30)&&Debounce(165,HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1",,,,,,,time_accum(),time_accum(),,,0,,,,"166904,167007,167798",
2659,718,充电时间信号统计10-30_latch,充电时间信号统计10-30_latch,1,"Latch_On_With_Reset(abs(HVBSOC_BatSOC-10)<2&&HiVltgBatChrgCordCnctdIndOn == 1,HiVltgBatChrgCordCnctdIndOn == 0)&&HVBSOC_BatSOC>=10&&(HVBSOC_BatSOC<=30)&&Debounce(HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1","Latch_On_With_Reset(20,abs(HVBSOC_BatSOC-10)<2&&HiVltgBatChrgCordCnctdIndOn == 1,HiVltgBatChrgCordCnctdIndOn == 0)&&HVBSOC_BatSOC>=10&&(HVBSOC_BatSOC<=30)&&Debounce(165,HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1",,,,,,,"range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))","range_max_min(HiVltgBatPrcdCurr,HVBSOC_BatSOC,HiVltgBatAvgTemp,OtsAirTmpCrVal,HiVltgBatMinCellVltg,HiVltgBatMaxCellVltg,abs(HiVltgBatMaxCellVltg-HiVltgBatMinCellVltg))",,,0,,,,"163960,163962,166904,166910,167007,167798,168077",167012
2660,718,充电时间累计30-80_latch,充电时间累计30-80_latch,1,"Latch_On_With_Reset(abs(HVBSOC_BatSOC-10)<2&&HiVltgBatChrgCordCnctdIndOn == 1,HiVltgBatChrgCordCnctdIndOn == 0)&&HVBSOC_BatSOC>=10&&(HVBSOC_BatSOC<=30)&&Debounce(HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1","Latch_On_With_Reset(20,abs(HVBSOC_BatSOC-10)<2&&HiVltgBatChrgCordCnctdIndOn == 1,HiVltgBatChrgCordCnctdIndOn == 0)&&HVBSOC_BatSOC>=10&&(HVBSOC_BatSOC<=30)&&Debounce(165,HiVltgBatPrcdCurr>2,10)&&HiVltgBatChrgCordCnctdIndOn == 1",,,,,,,time_accum(),time_accum(),,,0,,,,"166904,167007,167798",
