TASK_VEHICLE_ID,TASK_VEHICLETYPE_ID,VEHICLE_ID,TASK_ID,VIN,VIN_PATAC_ID,RMU_CODE,STATE,EXTRA1,EXTRA2,EXTRA3,IS_DEL,UPDATE_TIME
1887,820,318801011,674,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
1888,820,318801023,674,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
1889,820,318801024,674,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2095,872,318801023,722,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
1813,800,318801053,671,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2096,872,318801024,722,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
1814,800,318801011,671,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
1815,800,318801023,671,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
1816,800,318801024,671,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2097,872,318801053,722,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
2094,872,318801011,722,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2457,970,318801011,723,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2458,970,318801023,723,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
2459,970,318801024,723,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
1910,826,318801053,681,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
1902,824,318801053,712,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
1841,808,318801053,707,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
1842,808,318801011,707,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
1843,808,318801023,707,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
1844,808,318801024,707,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
1886,820,318801053,674,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
1903,824,318801011,712,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
1904,824,318801023,712,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
1905,824,318801024,712,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2460,970,318801053,723,LSGUN8P55RA033722,UM26OV030,6382087,0,,,,0,
1911,826,318801011,681,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
1912,826,318801023,681,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
1913,826,318801024,681,LSGUN8N50RA033727,UM26OV035,6381811,0,,,,0,
2425,962,318801011,717,LSGUN8N53RA033723,UM26OV031,6382040,0,,,,0,
2426,962,318801023,717,LSGUN8P52RA033726,UM26OV034,6382038,0,,,,0,
