TASK_VEHICLETYPE_ID,TASK_ID,VEHICLETYPE_NAME
800,671,SGM557 混动PHEV
826,681,SGM557 混动PHEV
872,722,SGM557 混动PHEV
824,712,SGM557 混动PHEV
808,707,SGM557 混动PHEV
820,674,SGM557 混动PHEV
972,725,SGM557 混动PHEV
881,727,SGM557 混动PHEV
887,726,SGM557 混动PHEV
1383,961,SGM557 混动PHEV
1466,1063,SGM557 混动PHEV
1503,1101,SGM557 混动PHEV
1575,1170,SGM557 混动PHEV
1708,1263,SGM557 混动PHEV
1583,1141,SGM557 混动PHEV
1725,1281,SGM557 混动PHEV
1809,1353,SGM557 混动PHEV
1792,1343,SGM557 混动PHEV
1844,1370,SGM557 混动PHEV
1984,1502,SGM557 混动PHEV
1848,1371,SGM557 混动PHEV
1854,1374,SGM557 混动PHEV
1891,1341,SGM557 混动PHEV
1982,1501,SGM557 电动车
2245,1681,SGM557 混动PHEV
2021,1541,SGM557 混动PHEV
2080,1161,SGM557 混动PHEV
2084,1582,SGM557 混动PHEV
2404,1806,SGM557 混动PHEV
2365,1786,SGM557 电动车
2402,1805,SGM557 电动车
2465,1863,SGM557 混动PHEV
2747,2073,TESTV
3070,2362,SGM557 混动PHEV
2942,2261,SGM557 混动PHEV
2964,2283,SGM557 混动PHEV
3083,2363,SGM557 混动PHEV
3111,2406,SGM557 混动PHEV
3081,2365,SGM557 混动PHEV
3125,2441,SGM557 混动PHEV
3082,2364,SGM557 混动PHEV
3112,2405,SGM557 混动PHEV
3164,2481,SGM557 混动PHEV
3541,1946,NDLB 增程式EREV
3641,2861,SGM557 电动车
4223,3283,SGM557 混动PHEV
3841,2982,SGM557 电动车
4201,3301,SGM557 混动PHEV
4806,3904,NDLB 增程式EREV
4601,3681,NDLB 增程式EREV
4810,3906,SGM557 混动PHEV
4808,3905,SGM557 混动PHEV
4822,3821,SGM557 电动车
4854,3927,SGM557 混动PHEV
4866,3933,SGM557 混动PHEV
4858,3929,SGM557 混动PHEV
4862,3931,SGM557 混动PHEV
4864,3932,SGM557 混动PHEV
5480,4341,SGM557 混动PHEV
4876,3938,SGM557 混动PHEV
5203,4181,NDLB 增程式EREV
5445,4381,NDLB 增程式EREV
5449,4382,NDLB 增程式EREV
5707,4583,NCUB 混动PHEV
5625,4542,NDLB 增程式EREV
5906,4803,NDLB 增程式EREV
5771,4644,NDLB 增程式EREV
5767,4601,NCUB 混动PHEV
5769,4642,SGM557 电动车
5828,4723,NDLB 增程式EREV
6045,4922,NCUB 混动PHEV
6203,5081,SGM557 混动PHEV
6229,5123,NDLB 增程式EREV
6049,4923,NCUB 混动PHEV
6165,5063,SGM557 混动PHEV
6232,5124,NCUB 混动PHEV
6227,5122,NDLB 增程式EREV
6245,5142,NDLB 增程式EREV
6287,5183,SGM557 混动PHEV
6333,5221,SGM557 混动PHEV
6338,5222,NDLB 增程式EREV
6427,4761,NDLB 增程式EREV
6403,5281,NDLB 增程式EREV
6430,5304,SGM358 混动PHEV
6444,5322,SGM557 混动PHEV
6463,5341,SGM557 混动PHEV
6523,5402,NCUB 混动PHEV
6527,5404,NCUB 混动PHEV
6525,5403,NCUB 混动PHEV
6961,5801,NCUB 混动PHEV
6622,5501,SGM557 电动车
6624,5502,SGM557 混动PHEV
6666,5543,NCUB 混动PHEV
6723,5601,NCUB 混动PHEV
6862,5721,SGM358 混动PHEV
6901,5761,NCUB 混动PHEV
6983,5821,SGM557 混动PHEV
7024,5862,SGM557 混动PHEV
7111,5927,SGM557 混动PHEV
7161,5942,SGM557 混动PHEV
7129,5937,SGM358 混动PHEV
7184,5982,SGM557 电动车
7221,5983,NCUB 混动PHEV
7290,6086,NCUB 混动PHEV
7284,6083,SGM557 混动PHEV
7287,6084,SGM557 混动PHEV
7294,6088,SGM557 电动车
7297,6090,SGM557 电动车
7360,6115,SGM358 混动PHEV
7405,6162,SGM557 混动PHEV
7387,6143,L234 电动车
7402,6161,SGM557 电动车
7471,6227,NDLB 电动车
7625,6382,SGM557 电动车
7623,6381,NCUB 混动PHEV
7721,6441,NCUB 混动PHEV
8041,6721,NCUB 混动PHEV
7843,6562,NCUB 混动PHEV
8064,6742,NCUB 混动PHEV
816,673,SGM557 混动PHEV
812,670,SGM557 混动PHEV
814,672,SGM557 混动PHEV
968,720,SGM557 混动PHEV
973,716,SGM557 混动PHEV
1005,719,SGM557 混动PHEV
1008,747,SGM557 混动PHEV
869,721,SGM557 混动PHEV
1384,962,SGM557 混动PHEV
1649,1210,TESTV
1647,1205,TESTV
1652,1211,SGM557 混动PHEV
1650,1203,SGM557 混动PHEV
1709,1261,SGM557 混动PHEV
2115,1603,SGM557 混动PHEV
1710,1264,SGM557 混动PHEV
1842,1363,SGM557 混动PHEV
1831,1364,SGM557 混动PHEV
1865,1382,SGM557 混动PHEV
1841,1369,SGM557 混动PHEV
1870,1384,SGM557 混动PHEV
2057,1564,SGM557 混动PHEV
2085,1583,SGM557 混动PHEV
2111,1601,SGM557 电动车
2222,1621,SGM557 混动PHEV
2182,1623,SGM557 混动PHEV
2223,1661,SGM557 电动车
2326,1746,SGM557 混动PHEV
2327,1747,SGM557 混动PHEV
2362,1381,SGM557 混动PHEV
2368,1787,SGM557 混动PHEV
2442,1842,SGM557 混动PHEV
2443,1843,SGM557 混动PHEV
2616,1943,SGM557 混动PHEV
2517,1886,SGM557 混动PHEV
2582,1941,SGM557 混动PHEV
2629,1947,SGM557 混动PHEV
2617,1944,SGM557 混动PHEV
2675,1988,SGM557 混动PHEV
2639,1952,SGM557 混动PHEV
2678,1990,SGM557 混动PHEV
2635,1948,SGM557 混动PHEV
2638,1951,SGM557 混动PHEV
2734,2067,SGM557 混动PHEV
2680,1991,SGM557 混动PHEV
